Sexo;Provincias;Tasas;Periodo;Total
Ambos sexos;Total Nacional;Tasa de paro de la población;2021T2;15,26
Ambos sexos;Total Nacional;Tasa de paro de la población;2021T1;15,98
Ambos sexos;Total Nacional;Tasa de paro de la población;2020T4;16,13
Ambos sexos;Total Nacional;Tasa de paro de la población;2020T3;16,26
Ambos sexos;Total Nacional;Tasa de paro de la población;2020T2;15,33
Ambos sexos;Total Nacional;Tasa de paro de la población;2020T1;14,41
Ambos sexos;Total Nacional;Tasa de paro de la población;2019T4;13,78
Ambos sexos;Total Nacional;Tasa de paro de la población;2019T3;13,92
Ambos sexos;Total Nacional;Tasa de paro de la población;2019T2;14,02
Ambos sexos;Total Nacional;Tasa de paro de la población;2019T1;14,70
Ambos sexos;Total Nacional;Tasa de paro de la población;2018T4;14,45
Ambos sexos;Total Nacional;Tasa de paro de la población;2018T3;14,55
Ambos sexos;Total Nacional;Tasa de paro de la población;2018T2;15,28
Ambos sexos;Total Nacional;Tasa de paro de la población;2018T1;16,74
Ambos sexos;Total Nacional;Tasa de paro de la población;2017T4;16,55
Ambos sexos;Total Nacional;Tasa de paro de la población;2017T3;16,38
Ambos sexos;Total Nacional;Tasa de paro de la población;2017T2;17,22
Ambos sexos;Total Nacional;Tasa de paro de la población;2017T1;18,75
Ambos sexos;Total Nacional;Tasa de paro de la población;2016T4;18,63
Ambos sexos;Total Nacional;Tasa de paro de la población;2016T3;18,91
Ambos sexos;Total Nacional;Tasa de paro de la población;2016T2;20,00
Ambos sexos;Total Nacional;Tasa de paro de la población;2016T1;21,00
Ambos sexos;Total Nacional;Tasa de paro de la población;2015T4;20,90
Ambos sexos;Total Nacional;Tasa de paro de la población;2015T3;21,18
Ambos sexos;Total Nacional;Tasa de paro de la población;2015T2;22,37
Ambos sexos;Total Nacional;Tasa de paro de la población;2015T1;23,78
Ambos sexos;Total Nacional;Tasa de paro de la población;2014T4;23,70
Ambos sexos;Total Nacional;Tasa de paro de la población;2014T3;23,67
Ambos sexos;Total Nacional;Tasa de paro de la población;2014T2;24,47
Ambos sexos;Total Nacional;Tasa de paro de la población;2014T1;25,93
Ambos sexos;Total Nacional;Tasa de paro de la población;2013T4;25,73
Ambos sexos;Total Nacional;Tasa de paro de la población;2013T3;25,65
Ambos sexos;Total Nacional;Tasa de paro de la población;2013T2;26,06
Ambos sexos;Total Nacional;Tasa de paro de la población;2013T1;26,94
Ambos sexos;Total Nacional;Tasa de paro de la población;2012T4;25,77
Ambos sexos;Total Nacional;Tasa de paro de la población;2012T3;24,79
Ambos sexos;Total Nacional;Tasa de paro de la población;2012T2;24,40
Ambos sexos;Total Nacional;Tasa de paro de la población;2012T1;24,19
Ambos sexos;Total Nacional;Tasa de paro de la población;2011T4;22,56
Ambos sexos;Total Nacional;Tasa de paro de la población;2011T3;21,28
Ambos sexos;Total Nacional;Tasa de paro de la población;2011T2;20,64
Ambos sexos;Total Nacional;Tasa de paro de la población;2011T1;21,08
Ambos sexos;Total Nacional;Tasa de paro de la población;2010T4;20,11
Ambos sexos;Total Nacional;Tasa de paro de la población;2010T3;19,59
Ambos sexos;Total Nacional;Tasa de paro de la población;2010T2;19,89
Ambos sexos;Total Nacional;Tasa de paro de la población;2010T1;19,84
Ambos sexos;Total Nacional;Tasa de paro de la población;2009T4;18,66
Ambos sexos;Total Nacional;Tasa de paro de la población;2009T3;17,75
Ambos sexos;Total Nacional;Tasa de paro de la población;2009T2;17,77
Ambos sexos;Total Nacional;Tasa de paro de la población;2009T1;17,24
Ambos sexos;Total Nacional;Tasa de paro de la población;2008T4;13,79
Ambos sexos;Total Nacional;Tasa de paro de la población;2008T3;11,23
Ambos sexos;Total Nacional;Tasa de paro de la población;2008T2;10,36
Ambos sexos;Total Nacional;Tasa de paro de la población;2008T1;9,60
Ambos sexos;Total Nacional;Tasa de paro de la población;2007T4;8,57
Ambos sexos;Total Nacional;Tasa de paro de la población;2007T3;8,01
Ambos sexos;Total Nacional;Tasa de paro de la población;2007T2;7,93
Ambos sexos;Total Nacional;Tasa de paro de la población;2007T1;8,42
Ambos sexos;Total Nacional;Tasa de paro de la población;2006T4;8,26
Ambos sexos;Total Nacional;Tasa de paro de la población;2006T3;8,08
Ambos sexos;Total Nacional;Tasa de paro de la población;2006T2;8,44
Ambos sexos;Total Nacional;Tasa de paro de la población;2006T1;9,03
Ambos sexos;Total Nacional;Tasa de paro de la población;2005T4;8,71
Ambos sexos;Total Nacional;Tasa de paro de la población;2005T3;8,41
Ambos sexos;Total Nacional;Tasa de paro de la población;2005T2;9,32
Ambos sexos;Total Nacional;Tasa de paro de la población;2005T1;10,17
Ambos sexos;Total Nacional;Tasa de paro de la población;2004T4;10,53
Ambos sexos;Total Nacional;Tasa de paro de la población;2004T3;10,74
Ambos sexos;Total Nacional;Tasa de paro de la población;2004T2;11,09
Ambos sexos;Total Nacional;Tasa de paro de la población;2004T1;11,50
Ambos sexos;Total Nacional;Tasa de paro de la población;2003T4;11,37
Ambos sexos;Total Nacional;Tasa de paro de la población;2003T3;11,30
Ambos sexos;Total Nacional;Tasa de paro de la población;2003T2;11,28
Ambos sexos;Total Nacional;Tasa de paro de la población;2003T1;11,99
Ambos sexos;Total Nacional;Tasa de paro de la población;2002T4;11,61
Ambos sexos;Total Nacional;Tasa de paro de la población;2002T3;11,49
Ambos sexos;Total Nacional;Tasa de paro de la población;2002T2;11,15
Ambos sexos;Total Nacional;Tasa de paro de la población;2002T1;11,55
Ambos sexos;02 Albacete;Tasa de paro de la población;2021T2;14,65
Ambos sexos;02 Albacete;Tasa de paro de la población;2021T1;19,77
Ambos sexos;02 Albacete;Tasa de paro de la población;2020T4;17,44
Ambos sexos;02 Albacete;Tasa de paro de la población;2020T3;17,48
Ambos sexos;02 Albacete;Tasa de paro de la población;2020T2;17,41
Ambos sexos;02 Albacete;Tasa de paro de la población;2020T1;20,72
Ambos sexos;02 Albacete;Tasa de paro de la población;2019T4;16,69
Ambos sexos;02 Albacete;Tasa de paro de la población;2019T3;16,50
Ambos sexos;02 Albacete;Tasa de paro de la población;2019T2;17,70
Ambos sexos;02 Albacete;Tasa de paro de la población;2019T1;17,85
Ambos sexos;02 Albacete;Tasa de paro de la población;2018T4;17,59
Ambos sexos;02 Albacete;Tasa de paro de la población;2018T3;16,86
Ambos sexos;02 Albacete;Tasa de paro de la población;2018T2;20,66
Ambos sexos;02 Albacete;Tasa de paro de la población;2018T1;23,82
Ambos sexos;02 Albacete;Tasa de paro de la población;2017T4;22,01
Ambos sexos;02 Albacete;Tasa de paro de la población;2017T3;20,81
Ambos sexos;02 Albacete;Tasa de paro de la población;2017T2;25,32
Ambos sexos;02 Albacete;Tasa de paro de la población;2017T1;24,48
Ambos sexos;02 Albacete;Tasa de paro de la población;2016T4;23,31
Ambos sexos;02 Albacete;Tasa de paro de la población;2016T3;23,06
Ambos sexos;02 Albacete;Tasa de paro de la población;2016T2;24,27
Ambos sexos;02 Albacete;Tasa de paro de la población;2016T1;24,67
Ambos sexos;02 Albacete;Tasa de paro de la población;2015T4;21,97
Ambos sexos;02 Albacete;Tasa de paro de la población;2015T3;23,28
Ambos sexos;02 Albacete;Tasa de paro de la población;2015T2;24,66
Ambos sexos;02 Albacete;Tasa de paro de la población;2015T1;28,82
Ambos sexos;02 Albacete;Tasa de paro de la población;2014T4;27,30
Ambos sexos;02 Albacete;Tasa de paro de la población;2014T3;29,03
Ambos sexos;02 Albacete;Tasa de paro de la población;2014T2;26,62
Ambos sexos;02 Albacete;Tasa de paro de la población;2014T1;27,12
Ambos sexos;02 Albacete;Tasa de paro de la población;2013T4;29,00
