Periodo,Tasa Natalidad,Tasa Fertilidad,Tasa Desempleo,Tasa IVE
2002,10.08,38.88,11.45,8.46
2003,10.44,40.38,11.485,8.77
2004,10.57,41.04,10.965,8.94
2005,10.65,41.47,9.1525,9.6
2006,10.85,42.49,8.4525,10.62
2007,10.86,42.71,8.2325,11.49
2008,11.28,44.68,11.245,11.78
2009,10.65,42.61,17.855,11.41
2010,10.42,42.19,19.8575,11.71
2011,10.07,41.26,21.39,12.47
2012,9.69,40.18,24.7875,12.12
2013,9.11,38.29,26.095,11.74
2014,9.17,39.14,24.4425,10.46
2015,9.02,39.0,22.0575,10.4
2016,8.8,38.53,19.634999999999998,10.36
2017,8.41,37.22,17.225,10.51
2018,7.94,35.42,15.254999999999999,11.12
2019,7.62,34.2,14.105,11.53
2020,7.15,32.28,15.5325,10.33
