Periodo,Tasa Natalidad,Tasa Fertilidad,Tasa Desempleo,Tasa IVE,Sector,Salario,% Población
2008,11.28,44.68,11.245,11.78,Construcción,20153.35,12.025
2008,11.28,44.68,11.245,11.78,Industria,22779.35,19.875
2008,11.28,44.68,11.245,11.78,Servicios,20237.23,68.125
2009,10.65,42.61,17.855,11.41,Construcción,21038.48,9.9
2009,10.65,42.61,17.855,11.41,Industria,23197.01,18.825
2009,10.65,42.61,17.855,11.41,Servicios,21024.6,71.275
2010,10.42,42.19,19.8575,11.71,Construcción,21435.17,8.825
2010,10.42,42.19,19.8575,11.71,Industria,23798.01,18.375
2010,10.42,42.19,19.8575,11.71,Servicios,21150.82,72.85
2011,10.07,41.26,21.39,12.47,Construcción,21710.44,7.6
2011,10.07,41.26,21.39,12.47,Industria,24583.59,18.225
2011,10.07,41.26,21.39,12.47,Servicios,21148.12,74.125
2012,9.69,40.18,24.7875,12.12,Construcción,21691.04,6.6
2012,9.69,40.18,24.7875,12.12,Industria,24778.88,18.299999999999997
2012,9.69,40.18,24.7875,12.12,Servicios,20730.22,75.1
2013,9.11,38.29,26.095,11.74,Construcción,21563.12,6.025
2013,9.11,38.29,26.095,11.74,Industria,25186.74,18.05
2013,9.11,38.29,26.095,11.74,Servicios,20658.52,75.95
2014,9.17,39.14,24.4425,10.46,Construcción,21877.16,5.725
2014,9.17,39.14,24.4425,10.46,Industria,25508.8,18.0
2014,9.17,39.14,24.4425,10.46,Servicios,20660.09,76.3
2015,9.02,39.0,22.0575,10.4,Construcción,21923.19,6.025
2015,9.02,39.0,22.0575,10.4,Industria,25610.57,18.0
2015,9.02,39.0,22.0575,10.4,Servicios,20842.85,75.95
2016,8.8,38.53,19.634999999999998,10.36,Construcción,21561.19,5.85
2016,8.8,38.53,19.634999999999998,10.36,Industria,25767.8,17.975
2016,8.8,38.53,19.634999999999998,10.36,Servicios,20843.44,76.15
2017,8.41,37.22,17.225,10.51,Construcción,21538.07,6.0
2017,8.41,37.22,17.225,10.51,Industria,25986.85,18.4
2017,8.41,37.22,17.225,10.51,Servicios,20933.67,75.575
2018,7.94,35.42,15.254999999999999,11.12,Construcción,22083.32,6.325
2018,7.94,35.42,15.254999999999999,11.12,Industria,26135.43,18.225
2018,7.94,35.42,15.254999999999999,11.12,Servicios,21111.72,75.475
2019,7.62,34.2,14.105,11.53,Construcción,22526.77,6.45
2019,7.62,34.2,14.105,11.53,Industria,26529.35,18.025
2019,7.62,34.2,14.105,11.53,Servicios,21569.8,75.55
2020,7.15,32.28,15.5325,10.33,Construcción,22145.79,6.475
2020,7.15,32.28,15.5325,10.33,Industria,25596.12,18.025
2020,7.15,32.28,15.5325,10.33,Servicios,21015.81,75.47500000000001
