Provincias;Sector económico;Periodo;Total
Total Nacional;Agricultura;2021T2;4,1
Total Nacional;Agricultura;2021T1;4,2
Total Nacional;Agricultura;2020T4;4,0
Total Nacional;Agricultura;2020T3;3,8
Total Nacional;Agricultura;2020T2;4,1
Total Nacional;Agricultura;2020T1;4,0
Total Nacional;Agricultura;2019T4;4,0
Total Nacional;Agricultura;2019T3;3,8
Total Nacional;Agricultura;2019T2;4,1
Total Nacional;Agricultura;2019T1;4,3
Total Nacional;Agricultura;2018T4;4,2
Total Nacional;Agricultura;2018T3;3,9
Total Nacional;Agricultura;2018T2;4,3
Total Nacional;Agricultura;2018T1;4,4
Total Nacional;Agricultura;2017T4;4,3
Total Nacional;Agricultura;2017T3;4,1
Total Nacional;Agricultura;2017T2;4,4
Total Nacional;Agricultura;2017T1;4,6
Total Nacional;Agricultura;2016T4;4,4
Total Nacional;Agricultura;2016T3;4,0
Total Nacional;Agricultura;2016T2;4,2
Total Nacional;Agricultura;2016T1;4,3
Total Nacional;Agricultura;2015T4;4,3
Total Nacional;Agricultura;2015T3;3,9
Total Nacional;Agricultura;2015T2;4,1
Total Nacional;Agricultura;2015T1;4,1
Total Nacional;Agricultura;2014T4;4,1
Total Nacional;Agricultura;2014T3;3,8
Total Nacional;Agricultura;2014T2;4,3
Total Nacional;Agricultura;2014T1;4,8
Total Nacional;Agricultura;2013T4;4,5
Total Nacional;Agricultura;2013T3;4,1
Total Nacional;Agricultura;2013T2;4,4
Total Nacional;Agricultura;2013T1;4,2
Total Nacional;Agricultura;2012T4;4,5
Total Nacional;Agricultura;2012T3;4,0
Total Nacional;Agricultura;2012T2;4,1
Total Nacional;Agricultura;2012T1;4,3
Total Nacional;Agricultura;2011T4;4,4
Total Nacional;Agricultura;2011T3;3,8
Total Nacional;Agricultura;2011T2;4,0
Total Nacional;Agricultura;2011T1;4,2
Total Nacional;Agricultura;2010T4;4,3
Total Nacional;Agricultura;2010T3;4,0
Total Nacional;Agricultura;2010T2;4,1
Total Nacional;Agricultura;2010T1;4,4
Total Nacional;Agricultura;2009T4;4,1
Total Nacional;Agricultura;2009T3;3,9
Total Nacional;Agricultura;2009T2;4,1
Total Nacional;Agricultura;2009T1;4,4
Total Nacional;Agricultura;2008T4;4,1
Total Nacional;Agricultura;2008T3;3,9
Total Nacional;Agricultura;2008T2;4,0
Total Nacional;Agricultura;2008T1;4,2
Total Nacional;Industria;2021T2;13,5
Total Nacional;Industria;2021T1;13,8
Total Nacional;Industria;2020T4;13,9
Total Nacional;Industria;2020T3;14,0
Total Nacional;Industria;2020T2;14,2
Total Nacional;Industria;2020T1;14,1
Total Nacional;Industria;2019T4;13,8
