Comunidades y Ciudades Autónomas;Sectores de actividad;Tipo de indicador;Componentes del coste;Periodo;Total
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2020;22.426,66
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2019;23.548,70
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2018;24.335,01
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2017;24.393,38
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2016;24.543,49
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2015;24.793,16
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2014;24.784,00
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2013;24.336,45
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2012;23.510,92
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2011;23.080,87
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2010;22.739,92
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2009;21.719,17
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2008;21.523,10
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2020;21.692,75
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2019;20.905,48
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2018;20.853,79
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2017;20.858,21
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2016;20.836,54
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2015;20.665,06
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2014;20.893,40
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2013;22.561,74
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2012;21.460,44
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2011;21.483,73
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2010;20.682,98
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2009;19.916,61
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2008;19.421,89
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2020;19.934,47
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2019;20.028,18
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2018;19.438,66
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2017;19.684,93
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2016;19.824,55
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2015;20.114,30
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2014;19.751,27
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2013;19.656,91
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2012;19.890,63
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2011;20.450,81
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2010;20.326,49
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2009;20.662,82
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2008;19.858,56
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2020;24.676,51
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2019;27.165,98
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2018;26.716,39
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2017;26.996,76
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2016;26.093,26
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2015;26.029,71
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2014;25.555,52
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2013;24.486,26
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2012;24.632,48
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2011;24.758,29
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2010;24.484,85
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2009;23.609,11
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2008;23.348,60
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2020;24.143,93
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2019;23.397,80
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2018;23.471,18
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2017;22.697,29
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2016;21.057,81
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2015;20.911,72
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2014;21.038,19
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2013;21.584,73
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2012;22.532,34
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2011;21.534,21
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2010;21.956,13
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2009;21.319,14
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2008;21.700,22
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2020;20.725,02
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2019;21.221,51
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2018;20.299,35
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2017;19.999,43
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2016;20.243,33
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2015;20.840,45
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2014;20.268,06
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2013;20.445,59
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2012;20.348,30
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2011;20.574,78
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2010;20.857,56
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2009;21.085,49
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2008;20.408,59
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2020;29.311,34
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2019;31.066,54
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2018;29.893,40
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2017;29.375,81
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2016;31.173,07
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2015;28.914,64
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2014;28.530,16
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2013;28.069,76
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2012;27.112,59
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2011;27.093,53
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2010;26.242,52
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2009;25.623,96
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2008;25.197,56
